ad_id;Street;City_Code
113;Saarstrasse 7; Euskirchen (53879)
114;Keltenring 76; Euskirchen (53879)
115;Pappelallee 57; Euskirchen (53879)
116;Julicher Ring; Euskirchen (53879)
117;Euskirchen; Euskirchen (53879)
118;Stiefelhagenstrasse 1; Euskirchen (53881)
119;Stiefelhagenstrasse 1; Euskirchen (53881)
120;Euskirchen; Euskirchen (53879)
121;Stotzheim; Euskirchen (53881)
122;Stotzheim; Euskirchen (53881)
123;Euskirchen; Euskirchen (53879)
124;Henri-Dunant Str. 18; Euskirchen (53879)
125;Adolf-Halstrick-Strasse 1; Euskirchen (53881)
126;Euskirchen; Euskirchen (53879)
127;Euskirchen; Euskirchen (53879)
128;Euskirchen; Euskirchen (53879)
129;Frauenberg; Euskirchen (53881)
130;Roitzheim; Euskirchen / Roitzheim (53881)
131;Roitzheim; Euskirchen / Roitzheim (53881)
132;Antweiler Str. 40; Euskirchen (53881)
133;Euskirchen; Euskirchen (53879)
134;Am Hang 14; Euskirchen (53881)
135;An der Vogelrute 60; Euskirchen (53879)
136;Euskirchen; Euskirchen (53879)
137;Dom-Esch; Euskirchen (53881)
138;Grossbullesheim; Euskirchen (53881)
139;Euskirchen; Euskirchen (53879)
140;Kirchheim; Euskirchen / Kirchheim (53881)
141;Euskirchen; Euskirchen (53879)
142;Euskirchen; Euskirchen (53879)
143;Euskirchen; Euskirchen (53879)
144;Kreuzweingarten; Euskirchen (53881)
145;Dominikanerinnenplatz 11b und Jean-Spessart-Str. 7; Euskirchen (53879)
146;Euskirchen; Euskirchen (53879)
147;Euskirchen; Euskirchen (53879)
148;Kreuzweingarten; Euskirchen (53881)
149;Euskirchen; Euskirchen (53879)
150;Kirchheim; Euskirchen / Kirchheim (53881)
151;Palmersheim; Euskirchen (53881)
152;Stotzheim; Euskirchen (53881)
153;Kuchenheim; Euskirchen (53881)
154;Kuchenheim; Euskirchen (53881)
155;Kuchenheim; Euskirchen (53881)
156;Kuchenheim; Euskirchen (53881)
157;Euskirchen; Euskirchen (53879)
158;Euskirchen; Euskirchen (53879)
159;Kuchenheim; Euskirchen (53881)
160;Euskirchen; Euskirchen (53879)
161;Kirchheim; Euskirchen / Kirchheim (53881)
162;Malmedyer Str. 18; Euskirchen (53879)
163;Euskirchen; Euskirchen (53879)
164;Kirchheim; Euskirchen (53881)
165;Frauenberg; Euskirchen (53881)
166;Euskirchen; Euskirchen (53879)
167;Frauenberg; Euskirchen (53881)
168;Frauenberg; Euskirchen (53881)
169;Stotzheim; Euskirchen (53881)
170;Weidesheim; Euskirchen (53881)
171;Flamersheim; Euskirchen (53881)
172;Stotzheim; Euskirchen / Stotzheim (53881)
173;Euskirchen; Euskirchen-Innenstadt (53879)
174;Annaturmstrasse 18-20; Euskirchen (53879)
175;Kirchwall 16c; Euskirchen (53879)
176;Hochstr. 37; Euskirchen (53879)
177;Euskirchen; Euskirchen-Innenstadt (53879)
178;Euskirchen; Euskirchen (53879)
179;Wisskirchen; Euskirchen (53881)
180;Wisskirchen; Euskirchen (53881)
181;Kleinbullesheim; Euskirchen (53881)
182;Burg Veynau; Euskirchen (53881)
183;Euskirchen; Euskirchen (53879)
184;Saarstrasse 7; Euskirchen (53879)
185;Gutenbergstr. 12; Euskirchen (53879)
186;Auringen - Mitte; Wiesbaden (65207)
187;Nordenstadt - West; Wiesbaden (65205)
188;Freudenberg; Wiesbaden (65201)
189;Eisenacher Strasse 41; Wiesbaden (65191)
190;Birnbaum; Wiesbaden / Sonnenberg (65191)
191;Nordenstadt - West; Wiesbaden (65205)
192;Speierlingstrasse 46; Wiesbaden (65191)
193;Speierlingstrasse 46; Wiesbaden (65191)
194;Anhalterweg 4; Wiesbaden (65191)
195;Anhalterweg 2; Wiesbaden (65191)
196;Kostheimer Flur; Wiesbaden (55246)
197;Sooderstrasse; Wiesbaden (65193)
198;Rambach - Mitte; Wiesbaden (65207)
199;Am Wolfsfeld 20; Wiesbaden (65191)
200;Breckenheim - Mitte; Wiesbaden (65207)
201;Schau-Ins-Land; Wiesbaden (65189)
202;Westend; Wiesbaden (65195)
203;Rheingauviertel; Wiesbaden (65197)
204;Städtische Kliniken; Wiesbaden (65201)
205;Breckenheim - Mitte; Wiesbaden (65207)
206;Nerotal; Wiesbaden (65193)
207;Kurhausstrasse 8; Wiesbaden (65183)
208;Riederbergstrasse; Wiesbaden (65195)
209;Komponistenviertel; Wiesbaden (65193)
210;Kostheim - Mitte; Wiesbaden (55246)
211;Sauerland I; Wiesbaden / Dotzheim (65199)
212;Nordenstadt - West; Wiesbaden (65205)
213;Lessingstrasse; Wiesbaden (65189)
214;Schierstein - Mitte; Wiesbaden (65201)
215;Fanny Lewald Strasse -; Wiesbaden (65197)
216;Delkenheim - Sud; Wiesbaden (65205)
217;Wolfsfeld; Wiesbaden (65191)
218;Hessloch - Mitte; Wiesbaden (65207)
219;Biebrich - Mitte; Wiesbaden (65203)
220;Bierstadter Flur; Wiesbaden / Bierstadt (65191)
221;Bierstadt - Mitte; Wiesbaden (65191)
222;Speierlingstrasse 46; Wiesbaden (65191)
223;Speierlingstrasse 46; Wiesbaden (65191)
224;Speierlingstrasse 46; Wiesbaden (65191)
225;Aukammtal; Wiesbaden (65191)
226;Siedlung Kostheim; Mainz-Kostheim (55246)
227;Siedlung Kostheim; Mainz-Kostheim (55246)
228;Siedlung Kostheim; Mainz-Kostheim (55246)
229;Siedlung Kostheim; Mainz-Kostheim (55246)
230;Heidestock; Wiesbaden (65191)
231;Heidestock; Wiesbaden (65191)
232;Nordenstadt - West; Wiesbaden (65205)
233;Lessingstrasse; Wiesbaden (65189)
234;Riederbergstrasse; Wiesbaden (65193)
235;Naurod; Wiesbaden (65207)
236;Gräselberg; Wiesbaden (65187)
237;Riederbergstrasse; Wiesbaden (65195)
238;Gräselberg; Wiesbaden (65187)
239;Klagenfurter Ring 6; Wiesbaden (65187)
240;Komponistenviertel; Wiesbaden (65193)
241;Komponistenviertel; Wiesbaden (65193)
242;Sonnenberg - Mitte; Wiesbaden (65193)
243;Dambachtal; Wiesbaden (65193)
244;Kohlheck; Wiesbaden (65199)
245;Biebricher Allee; Wiesbaden (65187)
246;Kohlheck; Wiesbaden (65199)
247;Veilchenweg 68; Wiesbaden (65201)
248;Kohlheck; Wiesbaden (65199)
249;Zentrum; Wiesbaden (65183)
250;Dotzheim - Mitte; Wiesbaden (65199)
251;Beethovenstrasse; Wiesbaden (65189)
252;Freudenberg; Wiesbaden / Schierstein (65201)
253;Auringen - Mitte; Wiesbaden (65207)
254;Gräselberg; Wiesbaden (65187)
255;Klarenthal - Nord; Wiesbaden (65197)
256;Gibb; Wiesbaden (65203)
257;Gibb; Wiesbaden (65203)
258;Gibb; Wiesbaden (65203)
259;Gibb; Wiesbaden (65203)
260;Gräselberg; Wiesbaden (65187)
261;Gibb; Wiesbaden (65203)
262;Riederbergstrasse; Wiesbaden (65195)
263;Naurod - Sud; Wiesbaden (65207)
264;Eigenheim; Wiesbaden (65193)
265;Schierstein - Mitte; Wiesbaden / Schierstein (65201)
266;Hochfeld; Wiesbaden (65205)
267;Birnbaum; Wiesbaden / Sonnenberg (65191)
268;Birnbaum; Wiesbaden / Sonnenberg (65191)
269;Igstadt - Mitte; Wiesbaden (65207)
270;Sooderstrasse; Wiesbaden Sonnenberg (65191)
271;Zentrum; Wiesbaden (65183)
272;Sonnenberg - Mitte; Wiesbaden (65191)
273;Gibb; Wiesbaden (65203)
274;Gibb; Wiesbaden (65203)
275;Gibb; Wiesbaden (65203)
276;Gibb; Wiesbaden (65203)
277;Gibb; Wiesbaden (65203)
278;Gibb; Wiesbaden (65203)
279;Nordenstadt - West; Wiesbaden (65205)
280;Zentrum; Wiesbaden (65185)
281;Delkenheim - Mitte; Wiesbaden (65205)
282;Speierlingstrasse 48; Wiesbaden (65191)
283;Schelmengraben; Wiesbaden (65199)
284;Biebrich - Mitte; Wiesbaden (65203)
285;Gräselberg; Wiesbaden (65187)
286;Erbenheim - Mitte; Wiesbaden (65205)
287;Nordenstadt - Ost; Wiesbaden (65205)
288;Auringen - Mitte; Wiesbaden (65207)
289;Riederbergstrasse; Wiesbaden (65195)
290;Hasengartenstrasse; Wiesbaden (65189)
291;Lessingstrasse; Wiesbaden (65189)
292;Daimlerstrasse / Fischbacher Strasse; Wiesbaden (65197)
293;Sudfriedhof; Wiesbaden (65187)
294;Komponistenviertel; Wiesbaden (65193)
295;Gräselberg; Wiesbaden (65187)
296;Mosbachtal; Wiesbaden (65187)
297;Gibb; Wiesbaden (65203)
298;Gräselberg; Wiesbaden (65187)
299;Gibb; Wiesbaden (65203)
300;Waldstrasse; Wiesbaden (65197)
301;Städtische Kliniken; Wiesbaden (65201)
302;Zentrum; Wiesbaden (65183)
303;Zentrum; Wiesbaden (65183)
304;Freudenberg; Wiesbaden (65201)
305;Komponistenviertel; Wiesbaden (65193)
306;Hasengartenstrasse; Wiesbaden (65189)
307;Naurod - Nord; Wiesbaden / Naurod (65207)
308;Rheinstrasse / Dotzheimer Strasse; Wiesbaden (65185)
309;Auringen - Mitte; Wiesbaden (65207)
310;Kloppenheim - Mitte; Wiesbaden (65207)
311;Nordenstadt - Ost; Wiesbaden (65205)
312;Medenbach - Mitte; Wiesbaden (65207)
313;Kurt-Schumacher-Ring; Wiesbaden (65195)
314;Freudenberg; Wiesbaden (65201)
315;Gibb; Wiesbaden (65203)
316;Gibb; Wiesbaden (65203)
317;Gibb; Wiesbaden (65203)
318;Bergkirchenviertel; Wiesbaden (65183)
319;Nordenstadt - Ost; Wiesbaden (65205)
320;Auringen - Mitte; Wiesbaden (65207)
321;Bierstadt - Mitte; Wiesbaden / Bierstadt (65191)
322;Kohlheck; Wiesbaden (65199)
323;Gräselberg; Wiesbaden (65187)
324;Uthmannstrasse; Mainz-Kostheim (55246)
325;Zentrum; Wiesbaden (65185)
326;Lessingstrasse; Wiesbaden (65185)
327;Dambachtal; Wiesbaden (65193)
328;Nordenstadt - West; Wiesbaden (65205)
329;Königsberger Strasse 17; Wiesbaden (65191)
330;Oberlinstrasse 19; Wiesbaden (65191)
331;Bierstadt - Mitte; Wiesbaden (65191)
332;Am Wolfsfeld 20; Wiesbaden (65191)
333;Wielandstrasse 41; Wiesbaden (65187)
334;Auringen - Mitte; Wiesbaden (65207)
335;Dekan-Lindenbein-Strasse 5; Wiesbaden (65205)
336;Freudenberg; Wiesbaden (65201)
337;Dusseldorfer Strasse 4; Wiesbaden (65205)
338;Dambachtal; Wiesbaden (65183)
339;Heidestock; Wiesbaden / Sonnenberg (65191)
340;Kohlheck; Wiesbaden (65199)
341;Gibb; Wiesbaden (65203)
342;Rheinstrasse / Dotzheimer Strasse; Wiesbaden (65185)
343;Gibb; Wiesbaden (65203)
344;Gräselberg; Wiesbaden (65187)
345;Komponistenviertel; Wiesbaden (65193)
346;Komponistenviertel; Wiesbaden (65193)
347;Rambach - Mitte; Wiesbaden (65207)
348;Kreuzberger Ring; Wiesbaden Erbenheim (65205)
349;Bierstadt - Mitte; Wiesbaden (65191)
350;Kasteler Rheinufer; Mainz-Kastel (55252)
351;Nordenstadt - Ost; Wiesbaden (65205)
352;Naurod - Nord; Wiesbaden (65207)
353;Komponistenviertel; Wiesbaden (65193)
354;Komponistenviertel; Wiesbaden (65193)
355;Kostheim - Mitte; Mainz-Kostheim (55246)
356;Kostheim - Mitte; Mainz-Kostheim (55246)
357;Nordenstadt - Ost; Wiesbaden (65205)
358;Kasteler Rheinufer; Mainz-Kastel (55252)
359;Kostheim - Mitte; Wiesbaden (55246)
360;Nordenstadt - Ost; Wiesbaden (65205)
361;Kasteler Rheinufer; Mainz-Kastel (55252)
362;Wellritztal; Wiesbaden (65195)
363;Gibb; Wiesbaden (65203)
364;Gibb; Wiesbaden (65203)
365;Kostheim - Mitte; Mainz Kostheim (55246)
366;Naurod - Sud; Wiesbaden (65207)
367;Kohlheck; Wiesbaden (65199)
368;Breckenheim - Mitte; Wiesbaden / Breckenheim (65207)
369;Luxemburgplatz; Wiesbaden (65185)
370;Munchener Strasse 42; Wiesbaden (65205)
371;Munchener Strasse 34; Wiesbaden (65205)
372;Beethovenstrasse; Wiesbaden (65189)
373;Gibb; Wiesbaden (65203)
374;Gibb; Wiesbaden (65203)
375;Gibb; Wiesbaden (65203)
376;Kloppenheim - Mitte; Wiesbaden (65207)
377;Kloppenheim - Mitte; Wiesbaden (65207)
378;Luxemburgplatz; Wiesbaden (65185)
379;Rheingauviertel; Wiesbaden (65187)
380;Komponistenviertel; Wiesbaden (65193)
381;Naurod - Sud; Wiesbaden (65207)
382;Schierstein - Mitte; Wiesbaden (65201)
383;Memelstrasse 17; Wiesbaden-Sonnenberg (65191)
384;Sauerland I; Wiesbaden (65199)
385;Klarenthal - Sud; Wiesbaden (65197)
386;Bierstadt - Mitte; Wiesbaden (65191)
387;Kloppenheim - Mitte; Wiesbaden (65207)
388;Gibb; Wiesbaden (65203)
389;Bergkirchenviertel; Wiesbaden (65183)
390;Bleichstrasse; Wiesbaden (65185)
391;Lessingstrasse; Wiesbaden (65189)
392;Camp Lindsey; Wiesbaden (65197)
393;Waldstrasse; Wiesbaden (65187)
394;Kohlheck; Wiesbaden (65199)
395;Gibb; Wiesbaden (65203)
396;Bierstadt - Mitte; Wiesbaden (65191)
397;Gibb; Wiesbaden (65203)
398;Gräselberg; Wiesbaden (65187)
399;Delkenheim - Sud; Wiesbaden (65205)
400;Breckenheim - Mitte; Wiesbaden / Breckenheim (65207)
401;Sonnenberg - Mitte; Wiesbaden (65193)
402;Uthmannstrasse; Wiesbaden (55246)
403;Gibb; Wiesbaden (65203)
404;Hochfeld; Wiesbaden (65205)
405;Kurpark; Wiesbaden (65189)
406;Parkfeld; Wiesbaden (65203)
407;Schau-Ins-Land; Wiesbaden (65189)
408;Schau-Ins-Land; Wiesbaden (65189)
409;Holbeinstrasse; Wiesbaden (65195)
410;Kostheim - Mitte; Mainz-Kostheim (55246)
411;Schau-Ins-Land; Wiesbaden (65189)
412;Delkenheim - Sud; Wiesbaden (65205)
413;Biebricher Allee; Wiesbaden (65187)
414;Bleichstrasse; Wiesbaden (65195)
415;Kastel - Mitte; Mainz-Kastel (55252)
416;Kastel - Mitte; Mainz-Kastel (55252)
417;Erbenheim - Mitte; Wiesbaden (65205)
418;Am Hohen Stein 20; Wiesbaden (65203)
419;Schierstein - Mitte; Wiesbaden / Schierstein (65201)
420;Kurpark; Wiesbaden (65189)
421;Nerotal; Wiesbaden (65193)
422;August-Wolff-Str. 23; Wiesbaden (65203)
423;Dotzheim - Mitte; Wiesbaden (65199)
424;Beethovenstrasse; Wiesbaden (65189)
425;Gibb; Wiesbaden (65203)
426;Gibb; Wiesbaden (65203)
427;Gibb; Wiesbaden (65203)
428;Gibb; Wiesbaden (65203)
429;Frauenstein - Mitte; Wiesbaden (65201)
430;Gabelsbornstrasse 52; Wiesbaden (65187)
431;Uthmannstrasse; Wiesbaden (55246)
432;Siedlung Kostheim; Wiesbaden (55246)
433;Gibb; Wiesbaden (65203)
434;Auringen - Mitte; Wiesbaden (65207)
435;Bleichstrasse; Wiesbaden (65185)
436;Lessingstrasse; Wiesbaden (65185)
437;Gibb; Wiesbaden (65203)
438;Gibb; Wiesbaden (65203)
439;Bierstadt - Mitte; Wiesbaden (65191)
440;Biebrich - Mitte; Wiesbaden (65203)
441;Delkenheim - Mitte; Wiesbaden (65205)
442;Nordenstadt - West; Wiesbaden (65205)
443;Krautgärten; Wiesbaden (55252)
444;Auringen - Mitte; Wiesbaden (65207)
445;Breckenheim - Mitte; Wiesbaden (65207)
446;Gibb; Wiesbaden (65203)
447;Gibb; Wiesbaden (65203)
448;Gibb; Wiesbaden (65203)
449;Gibb; Wiesbaden (65203)
450;Gibb; Wiesbaden (65203)
451;Wolfsfeld; Wiesbaden (65191)
452;Daimlerstrasse / Fischbacher Strasse; Wiesbaden (65197)
453;Gräselberg; Wiesbaden (65187)
454;Friedenstrasse; Wiesbaden (65189)
455;Siedlung Kostheim; Mainz-Kostheim (55246)
456;Gibb; Wiesbaden (65203)
457;Klarenthal - Sud; Wiesbaden (65197)
458;Auringen - Mitte; Wiesbaden (65207)
459;Gibb; Wiesbaden / Biebrich (65203)
460;Gibb; Wiesbaden / Biebrich (65203)
461;Gibb; Wiesbaden / Biebrich (65203)
462;Gibb; Wiesbaden / Biebrich (65203)
463;Kesselbachtal / Rabengrund; Wiesbaden (65193)
464;Gibb; Wiesbaden (65203)
465;Gibb; Wiesbaden (65203)
466;Gibb; Wiesbaden (65203)
467;Kostheim - Mitte; Mainz-Kostheim (55246)
468;Kesselbachtal / Rabengrund; Wiesbaden (65193)
469;Auringen - Mitte; Wiesbaden / Auringen (65207)
470;Schau-Ins-Land; Wiesbaden (65189)
471;Hochstrasse 8; Wiesbaden (65195)
472;Hochstrasse 8; Wiesbaden (65195)
473;Hochstr. 8; Wiesbaden (65195)
474;Hochstrasse 8; Wiesbaden (65195)
475;Klarenthal - Sud; Wiesbaden (65197)
476;Lessingstrasse; Wiesbaden (65185)
477;Obergasse 0; Wiesbaden (65207)
478;Luxemburgplatz; Wiesbaden / Wiesbaden Mitte (65185)
479;Kostheim - Mitte; Mainz-Kostheim (55246)
480;Guterbahnhof; Wiesbaden (65197)
481;Biebricher Allee; Wiesbaden (65187)
482;An den Fichten; Wiesbaden (65191)
483;Biebrich - Mitte; Wiesbaden (65203)
484;Schelmengraben; Wiesbaden (65199)
485;Rambach - Mitte; Wiesbaden (65207)
486;Schmalweg; Wiesbaden (55252)
487;Adolfshöhe; Wiesbaden (65187)
488;Westend; Wiesbaden (65185)
489;Riederbergstrasse; Wiesbaden (65195)
490;Waldstrasse; Wiesbaden (65187)
491;Römerstrasse 75; Wiesbaden (55252)
492;Westfriedhof; Wiesbaden (65199)
493;Nordenstadt - West; Wiesbaden (65205)
494;Nerotal 0; Wiesbaden (65193)
495;Fanny Lewald Strasse -; Wiesbaden (65197)
496;Fanny Lewald Strasse -; Wiesbaden (65197)
497;Fanny Lewald Strasse -; Wiesbaden (65197)
498;Sonnenberg - Mitte; Wiesbaden (65193)
499;Dotzheim - Mitte; Wiesbaden (65199)
500;Komponistenviertel; Wiesbaden (65193)
501;Gräselberg; Wiesbaden (65187)
502;Komponistenviertel; Wiesbaden (65193)
503;Komponistenviertel; Wiesbaden (65193)
504;Kohlheck; Wiesbaden (65199)
505;Schierstein - Mitte; Wiesbaden / Schierstein (65201)
506;Auringen - Mitte; Wiesbaden / Auringen (65207)
507;Bleichstrasse; Wiesbaden (65183)
508;Bleichstrasse; Wiesbaden (65183)
509;Holbeinstrasse; Wiesbaden (65195)
510;Holbeinstrasse; Wiesbaden (65195)
511;Naurod - Nord; Wiesbaden (65207)
512;Gräselberg; Wiesbaden (65187)
513;Medenbach - Mitte; Wiesbaden (65207)
514;Nordenstadt - West; Wiesbaden / Nordenstadt (65205)
515;Siedlung Kostheim; Wiesbaden (55246)
516;Kostheim - Mitte; Mainz-Kostheim (55246)
517;Naurod - Sud; Wiesbaden (65207)
518;Biebricher Allee; Wiesbaden (65187)
519;Wellritztal; Wiesbaden (65195)
520;Kloppenheimer Flur; Wiesbaden (65207)
521;Kloppenheimer Flur; Wiesbaden (65207)
522;Wellritztal; Wiesbaden (65195)
523;Nerobergstrasse 17; Wiesbaden (65193)
524;Uthmannstrasse; Wiesbaden (55246)
525;Speierlingstrasse 46; Wiesbaden (65191)
526;Komponistenviertel; Wiesbaden (65193)
527;Zentrum; Wiesbaden (65183)
528;Komponistenviertel; Wiesbaden (65193)
529;Irenenstrasse; Wiesbaden (65189)
530;Uthmannstrasse; Wiesbaden (55246)
531;Dambachtal; Wiesbaden (65193)
532;Aukammtal; Wiesbaden (65191)
533;Westend; Wiesbaden (65195)
534;Nordenstadt - West; Wiesbaden (65205)
535;Kostheim - Mitte; Mainz-Kostheim (55246)
536;Nordenstadt - Ost; Wiesbaden (65205)
537;Biebrich - Mitte; Wiesbaden (65203)
538;Steinern Strasse; Wiesbaden (55246)
539;Teufelssprung; Wiesbaden (55246)
540;Nordenstadt - West; Wiesbaden (65205)
541;Biebrich - Mitte; Wiesbaden (65203)
542;Schau-Ins-Land; Wiesbaden (65189)
543;Bleichstrasse; Wiesbaden (65183)
544;Lessingstrasse; Wiesbaden (65189)
545;Nordenstadt - Ost; Wiesbaden (65205)
546;Biebrich - Mitte; Wiesbaden (65203)
547;Gibb; Wiesbaden / Biebrich (65203)
548;Daimlerstrasse / Fischbacher Strasse; Wiesbaden / Klarenthal (65197)
549;Gibb; Wiesbaden / Biebrich (65203)
550;Gibb; Wiesbaden / Biebrich (65203)
551;Auringen - Mitte; Wiesbaden / Auringen (65207)
552;Riederbergstrasse; Wiesbaden (65195)
553;Frauenstein - Mitte; Wiesbaden / Frauenstein (65201)
554;Kloppenheimer Flur; Wiesbaden (65207)
555;Unknown;Unknown
556;Speierlingstrasse 46; Wiesbaden (65191)
557;Speierlingstrasse 46; Wiesbaden (65191)
558;Hochfeld; Wiesbaden (65205)
559;Schierstein - Mitte; Wiesbaden / Schierstein (65201)
560;Daimlerstrasse / Fischbacher Strasse; Wiesbaden / Klarenthal (65197)
561;Bingertstrasse / Liebenaustrasse; Wiesbaden (65191)
562;Bierstadt - Mitte; Wiesbaden (65191)
563;Siedlung Kostheim; Wiesbaden (55246)
564;Naurod - Nord; Wiesbaden (65207)
565;Naurod - Nord; Wiesbaden (65207)
566;Hessloch - Mitte; Wiesbaden (65207)
567;Hochfeld; Wiesbaden (65205)
568;Naurod - Nord; Wiesbaden (65207)
569;Nordenstadt - West; Wiesbaden (65205)
570;Nordenstadt - West; Wiesbaden (65205)
571;Viktoriastrasse 22; Wiesbaden (65189)
572;Biebricher Allee; Wiesbaden (65187)
573;Naurod - Nord; Wiesbaden (65207)
574;Unterriethstrasse Volkerstrasse; Wiesbaden (65187)
575;Gibb; Wiesbaden / Biebrich (65203)
576;Kurt-Schumacher-Ring; Wiesbaden (65197)
577;Gibb; Wiesbaden / Biebrich (65203)
578;Gibb; Wiesbaden / Biebrich (65203)
579;Gibb; Wiesbaden / Biebrich (65203)
580;Gibb; Wiesbaden / Biebrich (65203)
581;Lohmuhlweg 1b1; Wiesbaden (65187)
582;Uthmannstrasse; Mainz-Kostheim (55246)
583;Daimlerstrasse 14; Wiesbaden (65197)
584;Nordenstadt - Ost; Wiesbaden (65205)
585;Aukammtal; Wiesbaden (65191)
586;Dambachtal; Wiesbaden (65193)
587;Freudenberg; Wiesbaden (65201)
588;Hasengartenstrasse; Wiesbaden (65189)
589;Delkenheim - Mitte; Wiesbaden (65205)
590;Holbeinstrasse; Wiesbaden (65195)
591;Biebrich - Mitte; Wiesbaden (65203)
592;Kastel - Mitte; Wiesbaden-Mainz-Kostheim (65203)
593;Taunusring 18; Wiesbaden (65205)
594;Speierlingstrasse 46; Wiesbaden (65191)
595;Sooderstrasse 2; Wiesbaden (65193)
596;Luxemburgplatz; Wiesbaden (65185)
597;Bierstadt - Mitte; Wiesbaden (65191)
598;Nordenstadt - West; Wiesbaden (65205)
599;Nordenstadt - West; Wiesbaden (65205)
600;Kohlheck; Wiesbaden (65199)
601;Auringen - Mitte; Wiesbaden (65207)
602;Kalkofen; Wiesbaden (65185)
603;Kostheim - Mitte; Kostheim (55246)
604;Bergkirchenviertel; Wiesbaden (65183)
605;Bierstadt - Mitte; Wiesbaden (65191)
606;Nordenstadt - West; Wiesbaden (65205)
607;Bierstadt - Mitte; Wiesbaden (65191)
608;Adolfsallee; Wiesbaden (65185)
609;Nerotal; Wiesbaden (65193)
